period;inflation_D;inflation_CPI;output;lab share
1955 Q1;0.015588801;0.009810733;134886;0.741042345
1955 Q2;0.004422199;0.007722939;134924;0.757666214
1955 Q3;0.016862696;0.021762518;137592;0.747842009
1955 Q4;0.024221332;0.016680084;136813;0.744506898
1956 Q1;0.015377135;0.007707024;138343;0.739831349
1956 Q2;0.014509648;0.018739179;138200;0.75325313
1956 Q3;0.016630585;0.001744587;138030;0.753630203
1956 Q4;0.019165394;0.003115507;138850;0.742292304
1957 Q1;-0.016283761;0.010970425;141445;0.750587682
1957 Q2;0.015226384;0.003929175;141405;0.743583815
1957 Q3;0.027419722;0.021613042;140528;0.742728298
1957 Q4;0.016151378;0.003995146;140929;0.732655767
1958 Q1;-0.001745546;0.004766915;144031;0.728531257
1958 Q2;0.01221481;0.012404079;140418;0.737502753
1958 Q3;-0.004447645;-0.005513551;143508;0.730121003
1958 Q4;0.005153587;0.008703501;143947;0.738812392
1959 Q1;-0.003752101;0.006808018;144808;0.747411562
1959 Q2;0.0164237;-0.012484597;147145;0.728215768
1959 Q3;-0.017108209;0.003082893;150275;0.737060041
1959 Q4;0.010007603;0.002913339;154093;0.725149701
1960 Q1;-0.008339691;0.00203217;157940;0.720392157
1960 Q2;0.016327683;0.002434831;156809;0.730650155
1960 Q3;-0.000381521;0.006809763;159143;0.737977099
1960 Q4;0.01425011;0.006536935;160135;0.727883539
1961 Q1;0.008530787;0.005942241;162724;0.730593607
1961 Q2;-0.004096708;0.007076857;163392;0.751187431
1961 Q3;0.039016064;0.019194833;162575;0.716281476
1961 Q4;-0.009787614;0.006975639;162283;0.760755128
1962 Q1;0.009044227;0.010377433;162993;0.752386002
1962 Q2;0.014891892;0.016499798;164524;0.744820442
1962 Q3;0.004173684;0.001696277;165498;0.749016926
1962 Q4;0.007997435;-0.002276183;164936;0.745516074
1963 Q1;-0.011345084;0.01784195;165693;0.753107441
1963 Q2;0.008620024;-0.001672985;172858;0.728357246
1963 Q3;0.010862631;-0.00036432;173616;0.739820455
1963 Q4;0.008337491;0.007417732;177557;0.727779498
1964 Q1;-0.003290929;0.008094504;178735;0.740740741
1964 Q2;0.01659681;0.009756757;182076;0.729753915
1964 Q3;0.018142351;0.016647042;182725;0.733558426
1964 Q4;0.011755042;0.0080981;185535;0.730840854
1965 Q1;0.021184294;0.00986634;185031;0.728801583
1965 Q2;0.004156663;0.014161794;185142;0.739270687
1965 Q3;0.01648656;0.011985564;186556;0.745532032
1965 Q4;0.012893245;0.007118347;187757;0.746353323
1966 Q1;0.01325902;0.009454375;188064;0.752798507
1966 Q2;0.011359369;0.011258005;189153;0.750590706
1966 Q3;0.015286976;0.010718261;189791;0.746856773
1966 Q4;0.014420095;0.007745685;189028;0.746998838
1967 Q1;-0.003684597;0.000654746;191574;0.734610473
1967 Q2;0.011070924;0.002561424;194221;0.73971922
1967 Q3;0.002568802;0.0023;195025;0.748263027
1967 Q4;0.007704088;0.01204718;196039;0.749603029
1968 Q1;0.007759232;0.010451442;203280;0.738656349
1968 Q2;0.016104158;0.013326998;202430;0.732296262
1968 Q3;0.011985481;0.013304909;206359;0.723546019
1968 Q4;0.021304835;0.012285434;207170;0.726201068
1969 Q1;0.01903314;0.015961191;206754;0.738210665
1969 Q2;0.007352897;0.009678881;208313;0.732506257
1969 Q3;0.0167141;0.010671952;209436;0.728563801
1969 Q4;0.02107034;0.013605344;210400;0.734899678
1970 Q1;0.033181517;0.014272027;209117;0.734962978
1970 Q2;0.01957781;0.01529652;214106;0.730950322
1970 Q3;0.022580059;0.017825738;216150;0.732360097
1970 Q4;0.026320212;0.019779795;218098;0.720054078
1971 Q1;0.019526257;0.021428493;217082;0.720384205
1971 Q2;0.015764665;0.024545258;220973;0.710948905
1971 Q3;0.014463086;0.021199411;224771;0.703679261
1971 Q4;0.020821384;0.014736397;225659;0.700016033
1972 Q1;0.010456978;0.013052685;226104;0.718799745
1972 Q2;0.020337865;0.006415407;232083;0.709462023
1972 Q3;0.018457113;0.025492399;232700;0.715499255
1972 Q4;0.043147976;0.025776727;236339;0.709170367
1973 Q1;0.01462915;0.015852273;247921;0.690308108
1973 Q2;-0.010483077;0.018835602;248384;0.71083388
1973 Q3;0.043148937;0.022993889;246082;0.715336874
1973 Q4;0.039996228;0.040023315;245140;0.717742931
1974 Q1;0.019596793;0.032718722;238319;0.747773178
1974 Q2;0.055113227;0.039175964;241752;0.729704474
1974 Q3;0.047547673;0.033041233;243197;0.747496306
1974 Q4;0.059775581;0.046985971;239612;0.767017765
1975 Q1;0.069912806;0.051809498;239702;0.792200829
1975 Q2;0.064259745;0.069324099;235807;0.779803254
1975 Q3;0.042401774;0.048299164;235105;0.802138796
1975 Q4;0.043036251;0.036580694;237747;0.778025082
1976 Q1;0.032709679;0.032336954;241709;0.774010832
1976 Q2;0.027910282;0.020698375;241380;0.769310317
1976 Q3;0.023890972;0.028492499;244367;0.766683353
1976 Q4;0.038937761;0.048617673;249511;0.742106217
1977 Q1;0.035767491;0.045455362;249671;0.740822863
1977 Q2;0.038186309;0.024673955;247936;0.730128949
1977 Q3;0.020919333;0.024431963;249578;0.726180201
1977 Q4;0.027421827;0.021342771;253819;0.717582174
1978 Q1;0.036466256;0.015299824;256193;0.714727554
